iter	MultiClass
0	2.222008629
1	2.050533269
2	1.928702692
3	1.840548497
4	1.763723259
5	1.704884529
6	1.655053784
7	1.612849769
8	1.578570252
9	1.549903875
10	1.526038736
11	1.503855699
12	1.48408868
13	1.466787349
14	1.451892834
15	1.439203696
16	1.42503409
17	1.415198708
18	1.406019906
19	1.397832305
20	1.390404067
21	1.385184819
22	1.38008101
23	1.374547233
24	1.369476378
25	1.363016095
26	1.35847029
27	1.354484238
28	1.35088703
29	1.347872274
30	1.344626616
31	1.341329895
32	1.33729562
33	1.334482311
34	1.332055276
35	1.329634276
36	1.327627327
37	1.325468624
38	1.323677275
39	1.321349134
40	1.319410316
41	1.317389291
42	1.315456626
43	1.314195871
44	1.313255658
45	1.311504032
46	1.310035095
47	1.308899349
48	1.307707122
49	1.306478126
50	1.305713691
51	1.304408107
52	1.302983654
53	1.301814097
54	1.300928702
55	1.299781538
56	1.298685601
57	1.297665858
58	1.296968327
59	1.296090836
60	1.295402057
61	1.294630704
62	1.293706292
63	1.292888497
64	1.291895388
65	1.291084728
66	1.290477926
67	1.289935589
68	1.289199536
69	1.288339851
70	1.288118257
71	1.287499969
72	1.286787405
73	1.28635388
74	1.285656913
75	1.285436882
76	1.284817409
77	1.284546161
78	1.284067542
79	1.283709734
80	1.283219669
81	1.2826047
82	1.282038653
83	1.281418994
84	1.280598173
85	1.280123543
86	1.279874708
87	1.279278231
88	1.278699882
89	1.278183939
90	1.277665589
91	1.277154023
92	1.276636754
93	1.276302323
94	1.275799087
95	1.275533993
96	1.275054044
97	1.274854648
98	1.27428181
99	1.273738911
100	1.273087154
101	1.272613634
102	1.272286662
103	1.271721581
104	1.271384517
105	1.27073398
106	1.270571773
107	1.270151272
108	1.269508355
109	1.269221185
110	1.269060138
111	1.268616071
112	1.268385785
113	1.267912667
114	1.267452576
115	1.26692491
116	1.266423009
117	1.266105801
118	1.265731194
119	1.265393057
120	1.264944509
121	1.264695381
122	1.264387652
123	1.264029663
124	1.263687305
125	1.263402764
126	1.263093212
127	1.262824294
128	1.262445239
129	1.262092108
130	1.261665783
131	1.261447312
132	1.261093109
133	1.26076213
134	1.260533131
135	1.260263527
136	1.259982067
137	1.259783546
138	1.25954948
139	1.259356053
140	1.258964216
141	1.258675902
142	1.258394784
143	1.258106655
144	1.257888658
145	1.257597348
146	1.25733636
147	1.256850576
148	1.25657279
149	1.256163445
150	1.255886135
151	1.255604839
152	1.255453108
153	1.255224595
154	1.254814642
155	1.254500925
156	1.254316101
157	1.254035222
158	1.253855741
159	1.253595048
160	1.253391335
161	1.253003506
162	1.252895338
163	1.252580716
164	1.25246929
165	1.252282184
166	1.252127743
167	1.25184423
168	1.251392105
169	1.251115768
170	1.250667189
171	1.250356091
172	1.250093758
173	1.249963709
174	1.249793628
175	1.249710139
176	1.249564605
177	1.249374836
178	1.24926072
179	1.249075279
180	1.248840501
181	1.248547881
182	1.248338178
183	1.248116687
184	1.247853225
185	1.247678456
186	1.247373084
187	1.247131806
188	1.246826628
189	1.24658722
190	1.246523612
191	1.246263147
192	1.246056423
193	1.245859278
194	1.245680949
195	1.245506036
196	1.245464514
197	1.245171018
198	1.244924
199	1.244812249
200	1.244609056
201	1.244578249
202	1.244331618
203	1.244023438
204	1.243971676
205	1.243770875
206	1.243523921
207	1.243379269
208	1.243164694
209	1.243127631
210	1.242719644
211	1.242583922
212	1.242256077
213	1.241921965
214	1.241678472
215	1.241461421
216	1.241344394
217	1.24106098
218	1.240908918
219	1.24060344
220	1.240505674
221	1.240397401
222	1.240258417
223	1.240029513
224	1.239900287
225	1.239793469
226	1.239652331
227	1.239449795
228	1.2393888
229	1.239214763
230	1.239043065
231	1.238974655
232	1.238922605
233	1.238667733
234	1.238602415
235	1.23854267
236	1.238352199
237	1.238198203
238	1.238051595
239	1.23793737
240	1.237778637
241	1.23768032
242	1.237594591
243	1.23752021
244	1.237347715
245	1.236993285
246	1.236861032
247	1.236648463
248	1.236541742
249	1.236375957
250	1.236278354
251	1.236139369
252	1.235892694
253	1.23570577
254	1.235424187
255	1.23528108
256	1.235170382
257	1.234931083
258	1.234821487
259	1.234571151
260	1.234404616
261	1.234247972
262	1.233992601
263	1.233922173
264	1.233915265
265	1.233694698
266	1.233609507
267	1.233532573
268	1.233466801
269	1.233359016
270	1.233255399
271	1.233091587
272	1.232805927
273	1.232666377
274	1.232579508
275	1.232555333
276	1.232385961
277	1.232381072
278	1.232250091
279	1.232110125
280	1.231856668
281	1.231789045
282	1.231662906
283	1.231589188
284	1.231533383
285	1.231485594
286	1.23126351
287	1.231021096
288	1.230940548
289	1.23069873
290	1.230578964
291	1.230484139
292	1.230159736
293	1.230030521
294	1.230014914
295	1.229733705
296	1.229663159
297	1.22952274
298	1.229392836
299	1.229332284
300	1.229101803
301	1.229064423
302	1.228975014
303	1.22887683
304	1.22879015
305	1.228653951
306	1.228513115
307	1.228361335
308	1.228102502
309	1.227868521
310	1.227668577
311	1.227550157
312	1.227494319
313	1.22738265
314	1.227355912
315	1.22710295
316	1.227093776
317	1.226997552
318	1.226834558
319	1.22681905
320	1.226688383
321	1.226586395
322	1.226424371
323	1.22627266
324	1.226130246
325	1.225909077
326	1.225618461
327	1.22548135
328	1.225292011
329	1.225064595
330	1.224886024
331	1.224697219
332	1.224621433
333	1.224580969
334	1.224554765
335	1.22427457
336	1.224192186
337	1.224026939
338	1.22395931
339	1.223766883
340	1.223552537
341	1.223399391
342	1.223283687
343	1.222975613
344	1.222930218
345	1.222776585
346	1.222644087
347	1.222453768
348	1.222347399
349	1.222307369
350	1.222168449
351	1.222083374
352	1.22200897
353	1.221925337
354	1.221888433
355	1.221850329
356	1.221830127
357	1.221696992
358	1.221694139
359	1.221575159
360	1.22151671
361	1.221325968
362	1.221320448
363	1.221221429
364	1.221087081
365	1.220971943
366	1.220891365
367	1.220863033
368	1.220772503
369	1.22074991
370	1.220556876
371	1.220506479
372	1.220431322
373	1.220360913
374	1.220126103
375	1.220062277
376	1.219959425
377	1.219680015
378	1.219597321
379	1.219445071
380	1.219311165
381	1.219248687
382	1.219049261
383	1.218937891
384	1.218933423
385	1.218799327
386	1.218683432
387	1.218513629
388	1.218390022
389	1.218286844
390	1.218144975
391	1.217964455
392	1.21789619
393	1.217792923
394	1.217646014
395	1.217441655
396	1.217404142
397	1.217286114
398	1.217259063
399	1.217011792
400	1.217005911
401	1.217000631
402	1.21698272
403	1.21674825
404	1.216585116
405	1.216464045
406	1.216372253
407	1.216238568
408	1.216094919
409	1.216028321
410	1.216017611
411	1.215969609
412	1.215831429
413	1.215797659
414	1.215760743
415	1.215608057
416	1.215551125
417	1.215442448
418	1.215213531
419	1.215116559
420	1.214963808
421	1.214895322
422	1.214890712
423	1.214710086
424	1.21455487
425	1.21451788
426	1.214394287
427	1.214328044
428	1.214247063
429	1.214198364
430	1.214063769
431	1.213971798
432	1.213892778
433	1.213806657
434	1.213688133
435	1.213601571
436	1.213572845
437	1.213420114
438	1.213358805
439	1.213302347
440	1.213165019
441	1.212937347
442	1.212758153
443	1.212672934
444	1.212538207
445	1.212487003
446	1.212417972
447	1.21241575
448	1.212305727
449	1.212233543
450	1.212156266
451	1.212072881
452	1.212006585
453	1.211901881
454	1.211788374
455	1.211759266
456	1.211669736
457	1.211648655
458	1.211609594
459	1.211514945
460	1.211437953
461	1.211076553
462	1.211052784
463	1.211015469
464	1.210939147
465	1.210836983
466	1.210753185
467	1.210669042
468	1.210546336
469	1.210376766
470	1.210315938
471	1.210257467
472	1.210208008
473	1.210098169
474	1.21005109
475	1.209976894
476	1.209926599
477	1.209859877
478	1.20980325
479	1.209759578
480	1.209577692
481	1.209494051
482	1.209391632
483	1.209320958
484	1.209297895
485	1.209260328
486	1.209144559
487	1.209117375
488	1.209031992
489	1.208924176
490	1.208879661
491	1.208672985
492	1.208601855
493	1.208598063
494	1.208563207
495	1.208513227
496	1.208427737
497	1.208368878
498	1.208158477
499	1.208134914
500	1.208098739
501	1.208039067
502	1.207888456
503	1.207828312
504	1.207698535
505	1.207537073
506	1.207470055
507	1.207446767
508	1.207286279
509	1.207211091
510	1.207137359
511	1.207029342
512	1.207001855
513	1.206950768
514	1.206892277
515	1.206870589
516	1.206834127
517	1.206773747
518	1.206658104
519	1.206627123
520	1.206521916
521	1.206464811
522	1.206398713
523	1.206296656
524	1.2062662
525	1.206231289
526	1.206228591
527	1.206107577
528	1.206065022
529	1.205980328
530	1.205867359
531	1.205753461
532	1.205744183
533	1.205690007
534	1.205686579
535	1.205574345
536	1.205467538
537	1.205370645
538	1.205345221
539	1.205255529
540	1.205195377
541	1.205137486
542	1.205046264
543	1.205015317
544	1.204944505
545	1.20491379
546	1.204865597
547	1.204822411
548	1.20478776
549	1.204680401
550	1.204540868
551	1.204326571
552	1.204274979
553	1.204210264
554	1.2040849
555	1.203837375
556	1.203764327
557	1.203760412
558	1.203722139
559	1.203585764
560	1.203431194
561	1.20337033
562	1.203247554
563	1.20314758
564	1.203087116
565	1.202997781
566	1.202937548
567	1.202922861
568	1.2028469
569	1.202729686
570	1.202624587
571	1.202534391
572	1.202435224
573	1.202390444
574	1.202253407
575	1.202193404
576	1.202011727
577	1.201899975
578	1.201871873
579	1.201798817
580	1.201606758
581	1.201545198
582	1.201437855
583	1.201397356
584	1.201370576
585	1.201337919
586	1.20124289
587	1.201202187
588	1.201172762
589	1.201142908
590	1.201027556
591	1.200964838
592	1.200824166
593	1.200815383
594	1.20061184
595	1.200548901
596	1.200511492
597	1.200422076
598	1.200364194
599	1.200298808
600	1.200281165
601	1.200278235
602	1.199999885
603	1.199930429
604	1.199905587
605	1.199755299
606	1.19973144
607	1.199653202
608	1.199565056
609	1.199439959
610	1.199383891
611	1.199330553
612	1.199223923
613	1.199206696
614	1.199120131
615	1.199009781
616	1.198969334
617	1.198888659
618	1.198753893
619	1.198695546
620	1.198567618
621	1.198421651
622	1.198410547
623	1.198307541
624	1.198242733
625	1.19814931
626	1.19812363
627	1.198026166
628	1.197977919
629	1.197936131
630	1.197843353
631	1.197762086
632	1.197719122
633	1.197597512
634	1.197557285
635	1.197500526
636	1.197371539
637	1.197339633
638	1.197259441
639	1.197242423
640	1.197165697
641	1.197062973
642	1.19702841
643	1.196971694
644	1.196912202
645	1.196872185
646	1.196831786
647	1.196743076
648	1.196718193
649	1.196642827
650	1.19659349
651	1.19654463
652	1.196533836
653	1.196510021
654	1.196473973
655	1.196466001
656	1.196423387
657	1.196344881
658	1.196266293
659	1.196221177
660	1.196080213
661	1.196075542
662	1.195982141
663	1.195899585
664	1.195840867
665	1.19575259
666	1.195560732
667	1.195534808
668	1.195456798
669	1.195432432
670	1.195411647
671	1.195313071
672	1.195229696
673	1.19515066
674	1.195055006
675	1.195020627
676	1.194977087
677	1.194915256
678	1.194911765
679	1.194809782
680	1.194752331
681	1.194729776
682	1.194654302
683	1.19459384
684	1.194532517
685	1.194483524
686	1.194381318
687	1.194328825
688	1.194248598
689	1.194203496
690	1.194074851
691	1.194010538
692	1.193962534
693	1.193909879
694	1.193722323
695	1.193671281
696	1.193599767
697	1.19345934
698	1.193402824
699	1.193355146
700	1.193181095
701	1.193093366
702	1.192976855
703	1.192968419
704	1.192955727
705	1.192918525
706	1.19286229
707	1.192797956
708	1.192782661
709	1.192721421
710	1.192684958
711	1.192580874
712	1.192562839
713	1.192441114
714	1.192396819
715	1.19226502
716	1.19219119
717	1.192140719
718	1.192083198
719	1.19201613
720	1.191953377
721	1.191885021
722	1.191860082
723	1.191766159
724	1.191636603
725	1.191462426
726	1.1913433
727	1.191257845
728	1.19119198
729	1.191189305
730	1.191117473
731	1.19103501
732	1.190975444
733	1.190900829
734	1.190784066
735	1.19076563
736	1.190758934
737	1.190747362
738	1.190736137
739	1.190654037
740	1.19063807
741	1.190608848
742	1.190605485
743	1.190546357
744	1.190444814
745	1.190370074
746	1.190279951
747	1.190258229
748	1.190169635
749	1.190155447
750	1.190113963
751	1.190100042
752	1.190038929
753	1.189971388
754	1.189935595
755	1.189896158
756	1.189787164
757	1.189775777
758	1.189661015
759	1.189275688
760	1.189235008
761	1.189224614
762	1.189127954
763	1.189076477
764	1.189058712
765	1.189054798
766	1.189051927
767	1.189034353
768	1.188942272
769	1.188908677
770	1.188843328
771	1.188822721
772	1.188818705
773	1.18858422
774	1.188475188
775	1.188334209
776	1.188209251
777	1.188143909
778	1.188040994
779	1.188009677
780	1.187962872
781	1.187816706
782	1.187674422
783	1.187639894
784	1.187596401
785	1.187517075
786	1.187413474
787	1.187362717
788	1.187250705
789	1.187247686
790	1.187201416
791	1.18717258
792	1.187115655
793	1.187043954
794	1.186941942
795	1.186910856
796	1.186877316
797	1.186872551
798	1.186851838
799	1.186814884
800	1.186689244
801	1.186600409
802	1.186506891
803	1.186449253
804	1.186408499
805	1.186383226
806	1.186313846
807	1.186250923
808	1.186199361
809	1.186166224
810	1.186076072
811	1.186043101
812	1.185997047
813	1.185889845
814	1.185873488
815	1.185824404
816	1.185762102
817	1.185715649
818	1.185609388
819	1.185511539
820	1.185353562
821	1.185314618
822	1.185295546
823	1.185289123
824	1.185208382
825	1.185172213
826	1.18513414
827	1.185051657
828	1.184862902
829	1.184814398
830	1.184744768
831	1.18472673
832	1.184685685
833	1.184586986
834	1.184450769
835	1.184356396
836	1.184323076
837	1.184284841
838	1.184197308
839	1.184098996
840	1.184006645
841	1.183916805
842	1.183872597
843	1.183783971
844	1.183717564
845	1.18366315
846	1.183579853
847	1.183555177
848	1.183512521
849	1.183457341
850	1.183319052
851	1.183274847
852	1.183267399
853	1.183264294
854	1.183215904
855	1.183184211
856	1.183063936
857	1.18299968
858	1.182891752
859	1.182828623
860	1.182720243
861	1.182663865
862	1.18259203
863	1.182533123
864	1.182503891
865	1.182490394
866	1.182360189
867	1.182305826
868	1.182214072
869	1.182177447
870	1.182140333
871	1.182083781
872	1.181981563
873	1.181910697
874	1.181783704
875	1.181690248
876	1.181620762
877	1.181476152
878	1.181473546
879	1.18146502
880	1.181456624
881	1.181359839
882	1.181299147
883	1.181261563
884	1.181166018
885	1.181079592
886	1.180939849
887	1.180905016
888	1.180841649
889	1.180741311
890	1.180730303
891	1.180674576
892	1.180602164
893	1.180588667
894	1.180512172
895	1.18045987
896	1.180371556
897	1.180270376
898	1.180221776
899	1.180069515
900	1.180013272
901	1.179976838
902	1.179868083
903	1.179865759
904	1.179838929
905	1.179813809
906	1.179765865
907	1.179620411
908	1.179495371
909	1.179413208
910	1.179367544
911	1.179352105
912	1.179258092
913	1.179214676
914	1.179212219
915	1.179196867
916	1.179094197
917	1.179089911
918	1.179033207
919	1.178964706
920	1.178941854
921	1.1787274
922	1.178668526
923	1.178625292
924	1.178610536
925	1.178581921
926	1.178523683
927	1.178505407
928	1.178480727
929	1.178435324
930	1.178409873
931	1.17838596
932	1.178358532
933	1.178270826
934	1.17824995
935	1.178247958
936	1.178207179
937	1.17809109
938	1.17804695
939	1.177940825
940	1.17786401
941	1.177779283
942	1.177771747
943	1.177734448
944	1.177678692
945	1.177632978
946	1.177574663
947	1.177545554
948	1.177383858
949	1.177343393
950	1.177228326
951	1.17713666
952	1.177030999
953	1.17695771
954	1.176908564
955	1.176901586
956	1.176801682
957	1.176758503
958	1.176736875
959	1.176680285
960	1.176604405
961	1.176540492
962	1.176511998
963	1.176420429
964	1.176372123
965	1.176302045
966	1.176214829
967	1.176131287
968	1.176101964
969	1.176070007
970	1.17593784
971	1.175931151
972	1.175892779
973	1.175751451
974	1.175734875
975	1.175628171
976	1.175613495
977	1.175491345
978	1.175392872
979	1.175340796
980	1.175258572
981	1.175133719
982	1.175031093
983	1.174989803
984	1.174977509
985	1.17496113
986	1.174933822
987	1.17485194
988	1.174797233
989	1.174769942
990	1.174765438
991	1.174740139
992	1.174701006
993	1.174658772
994	1.174635865
995	1.174524048
996	1.174472411
997	1.174432782
998	1.174427842
999	1.174352473
1000	1.174342114
1001	1.174270882
1002	1.174266431
1003	1.174124426
1004	1.174031216
1005	1.173928558
1006	1.173906188
1007	1.173830228
1008	1.173788922
1009	1.173774562
1010	1.173735746
1011	1.173733023
1012	1.173706634
1013	1.173696486
1014	1.173616876
1015	1.173559292
1016	1.173543348
1017	1.173484827
1018	1.173423571
1019	1.173339299
1020	1.173289258
1021	1.173275751
1022	1.173231428
1023	1.173219937
1024	1.173209676
1025	1.173125921
1026	1.17304289
1027	1.173012637
1028	1.17291582
1029	1.172832147
1030	1.172789467
1031	1.172748931
1032	1.172627649
1033	1.172496445
1034	1.172405993
1035	1.172277355
1036	1.172227731
1037	1.172115537
1038	1.17205615
1039	1.171915355
1040	1.171781585
1041	1.171742285
1042	1.171727264
1043	1.171711611
1044	1.171692305
1045	1.17167877
1046	1.171625693
1047	1.171521092
1048	1.171350397
1049	1.171315755
1050	1.171262845
1051	1.171216633
1052	1.171172644
1053	1.171063313
1054	1.171060194
1055	1.171030458
1056	1.171014267
1057	1.171010099
1058	1.170978213
1059	1.170946872
1060	1.170864702
1061	1.170828858
1062	1.170724415
1063	1.170471364
1064	1.170375589
1065	1.170234883
1066	1.170077527
1067	1.169980683
1068	1.169900069
1069	1.169852967
1070	1.169785419
1071	1.169742356
1072	1.169642587
1073	1.169594049
1074	1.169461558
1075	1.169343746
1076	1.169269219
1077	1.169181612
1078	1.169164053
1079	1.169079229
1080	1.168919137
1081	1.168882599
1082	1.168845402
1083	1.168835694
1084	1.168719822
1085	1.168595
1086	1.168523088
1087	1.168493003
1088	1.168460841
1089	1.168343763
1090	1.168303867
1091	1.168202423
1092	1.168190114
1093	1.168088316
1094	1.168033249
1095	1.167953502
1096	1.167948003
1097	1.167932738
1098	1.1678877
1099	1.16781831
1100	1.167785634
1101	1.167755704
1102	1.167633654
1103	1.167558857
1104	1.167495328
1105	1.167432823
1106	1.16732163
1107	1.167267638
1108	1.167059747
1109	1.167029483
1110	1.166928462
1111	1.166843731
1112	1.166822991
1113	1.166792323
1114	1.166674572
1115	1.166618915
1116	1.166563314
1117	1.166538672
1118	1.166528011
1119	1.166462366
1120	1.166410653
1121	1.166221144
1122	1.166204724
1123	1.166109118
1124	1.166059896
1125	1.166004812
1126	1.165949968
1127	1.165842918
1128	1.165833498
1129	1.165792965
1130	1.165756258
1131	1.165698904
1132	1.165688583
1133	1.165670198
1134	1.165626508
1135	1.165532405
1136	1.165493231
1137	1.165407436
1138	1.165342731
1139	1.165300577
1140	1.165229049
1141	1.165207794
1142	1.165165592
1143	1.16510973
1144	1.165007994
1145	1.164972756
1146	1.164938546
1147	1.164923034
1148	1.164858052
1149	1.164689635
1150	1.164590262
1151	1.164531218
1152	1.164463701
1153	1.1643824
1154	1.164335945
1155	1.164273067
1156	1.164187725
1157	1.164119461
1158	1.164101424
1159	1.164017095
1160	1.164012159
1161	1.163987818
1162	1.163926545
1163	1.163896004
1164	1.163838095
1165	1.163804461
1166	1.163759616
1167	1.163748313
1168	1.163679939
1169	1.16366308
1170	1.163645604
1171	1.163632678
1172	1.163586491
1173	1.163511812
1174	1.163492811
1175	1.163404217
1176	1.163400457
1177	1.163366004
1178	1.163267719
1179	1.163255138
1180	1.163098349
1181	1.163073013
1182	1.163025521
1183	1.163004463
1184	1.162991325
1185	1.162975387
1186	1.162730447
1187	1.16264086
1188	1.162474027
1189	1.162390363
1190	1.162292878
1191	1.162229395
1192	1.162215435
1193	1.162143312
1194	1.162103382
1195	1.161989095
1196	1.161967593
1197	1.161945382
1198	1.161893116
1199	1.161867546
1200	1.161794082
1201	1.161772497
1202	1.161701606
1203	1.161603965
1204	1.161547852
1205	1.161507878
1206	1.161489117
1207	1.161430232
1208	1.16141847
1209	1.161399082
1210	1.161261479
1211	1.161186714
1212	1.16114587
1213	1.161065869
1214	1.160977205
1215	1.160946562
1216	1.160891174
1217	1.160827145
1218	1.160811728
1219	1.16073491
1220	1.16070215
1221	1.160682739
1222	1.160668848
1223	1.160540152
1224	1.160443125
1225	1.160387356
1226	1.160327803
1227	1.16027839
1228	1.160151395
1229	1.160058954
1230	1.160054003
1231	1.160025951
1232	1.15983963
1233	1.159752028
1234	1.159737098
1235	1.159624625
1236	1.159565614
1237	1.159552596
1238	1.159518484
1239	1.159475915
1240	1.159446029
1241	1.159376259
1242	1.159276901
1243	1.159170053
1244	1.159160737
1245	1.159104888
1246	1.15909911
1247	1.159072115
1248	1.159045057
1249	1.15898719
1250	1.158955347
1251	1.158853921
1252	1.158772106
1253	1.158696949
1254	1.158615227
1255	1.158575678
1256	1.158513583
1257	1.15838904
1258	1.158301668
1259	1.158176702
1260	1.158117502
1261	1.158036847
1262	1.157994206
1263	1.157844484
1264	1.157805623
1265	1.157789887
1266	1.157713988
1267	1.157683
1268	1.157619407
1269	1.157589897
1270	1.157555672
1271	1.157549349
1272	1.157456242
1273	1.157442765
1274	1.157388765
1275	1.157325614
1276	1.157314483
1277	1.157278503
1278	1.15726603
1279	1.157227092
1280	1.157146306
1281	1.157127168
1282	1.157094841
1283	1.157029982
1284	1.156962503
1285	1.156759501
1286	1.15675551
1287	1.156753664
1288	1.156611603
1289	1.156543866
1290	1.156530669
1291	1.156521196
1292	1.156486409
1293	1.156302065
1294	1.156288327
1295	1.156234181
1296	1.15623186
1297	1.156228509
1298	1.156149403
1299	1.156053193
1300	1.156011331
1301	1.155897725
1302	1.155835637
1303	1.155659844
1304	1.15562829
1305	1.155538246
1306	1.155449993
1307	1.155434939
1308	1.155368141
1309	1.155364544
1310	1.155332288
1311	1.155320857
1312	1.155214222
1313	1.155166089
1314	1.155160948
1315	1.155118537
1316	1.155059023
1317	1.155021459
1318	1.154980211
1319	1.154918038
1320	1.154801614
1321	1.154787089
1322	1.154776045
1323	1.154740182
1324	1.154729217
1325	1.154674346
1326	1.154626142
1327	1.15461906
1328	1.154542851
1329	1.154471705
1330	1.154407517
1331	1.154358239
1332	1.154319116
1333	1.154234049
1334	1.154102462
1335	1.15400927
1336	1.153962385
1337	1.153812249
1338	1.153749937
1339	1.153724121
1340	1.153626569
1341	1.153566679
1342	1.153442019
1343	1.153438141
1344	1.153295665
1345	1.153287997
1346	1.153224095
1347	1.153150178
1348	1.153097727
1349	1.15305378
1350	1.152973707
1351	1.152937205
1352	1.152928621
1353	1.152920205
1354	1.152911457
1355	1.152893933
1356	1.152875203
1357	1.152825844
1358	1.15270966
1359	1.152611624
1360	1.152510616
1361	1.152408738
1362	1.152376153
1363	1.152308041
1364	1.15225341
1365	1.152231557
1366	1.15218156
1367	1.152064855
1368	1.152048452
1369	1.152036025
1370	1.152026639
1371	1.151936869
1372	1.151915526
1373	1.15185023
1374	1.151809606
1375	1.15174441
1376	1.151689435
1377	1.151606803
1378	1.151580574
1379	1.151541635
1380	1.151479798
1381	1.151470787
1382	1.151408573
1383	1.15137308
1384	1.151226975
1385	1.151213928
1386	1.151205929
1387	1.150929311
1388	1.150903723
1389	1.150856882
1390	1.150794973
1391	1.150739339
1392	1.150688604
1393	1.150629165
1394	1.150572079
1395	1.150535204
1396	1.150532917
1397	1.150529965
1398	1.150512147
1399	1.150478794
1400	1.150452465
1401	1.150446934
1402	1.150379781
1403	1.150341362
1404	1.15033153
1405	1.150274274
1406	1.150220907
1407	1.150157581
1408	1.150106082
1409	1.1500525
1410	1.149986644
1411	1.149929699
1412	1.149836211
1413	1.149772201
1414	1.149726253
1415	1.149717414
1416	1.149673838
1417	1.149615252
1418	1.149559938
1419	1.149424633
1420	1.149398984
1421	1.149395664
1422	1.149326353
1423	1.149297348
1424	1.149233358
1425	1.149084104
1426	1.14903944
1427	1.149013719
1428	1.149001234
1429	1.148961741
1430	1.148889066
1431	1.148845767
1432	1.148818706
1433	1.148725453
1434	1.148710961
1435	1.14861941
1436	1.148582925
1437	1.148508327
1438	1.148366991
1439	1.148316479
1440	1.148279693
1441	1.148175836
1442	1.148062301
1443	1.147992913
1444	1.147974342
1445	1.14796566
1446	1.147875226
1447	1.147786274
1448	1.147711242
1449	1.1476675
1450	1.147567933
1451	1.147531236
1452	1.147487406
1453	1.147474822
1454	1.147342973
1455	1.147298073
1456	1.147007323
1457	1.146968312
1458	1.146824276
1459	1.146792386
1460	1.146719249
1461	1.146703972
1462	1.146606984
1463	1.146513326
1464	1.146489596
1465	1.146464122
1466	1.146382766
1467	1.146270787
1468	1.146240664
1469	1.146209047
1470	1.146179565
1471	1.146130541
1472	1.146026613
1473	1.145959434
1474	1.145942178
1475	1.145934502
1476	1.14585984
1477	1.145835163
1478	1.145810154
1479	1.145757256
1480	1.145707055
1481	1.145696728
1482	1.145619466
1483	1.145616983
1484	1.145579947
1485	1.145517664
1486	1.145466291
1487	1.145363711
1488	1.145338794
1489	1.145276946
1490	1.145253633
1491	1.145251749
