iter	Passed	Remaining
0	209	1047429
1	366	916079
2	528	880504
3	683	853631
4	840	839484
5	999	832277
6	1195	852771
7	1393	869724
8	1587	880493
9	1771	884165
10	1954	886407
11	2133	886874
12	2319	889703
13	2521	897918
14	2712	901493
15	2902	903980
16	3092	906595
17	3275	906698
18	3455	905946
19	3626	902949
20	3806	902473
21	3986	901961
22	4168	902068
23	4350	902072
24	4524	900427
25	4704	900000
26	4886	900099
27	5053	897324
28	5216	894229
29	5369	889470
30	5510	883359
31	5672	880722
32	5821	876216
33	5984	874117
34	6148	872260
35	6315	870842
36	6481	869424
37	6634	866384
38	6795	864364
39	6978	865334
40	7177	868130
41	7376	870746
42	7576	873415
43	7772	875520
44	7975	878173
45	8173	880231
46	8365	881546
47	8566	883814
48	8768	885979
49	8954	886456
50	9148	887758
51	9326	887452
52	9524	889049
53	9723	890593
54	9914	891439
55	10109	892502
56	10284	891862
57	10469	892093
58	10648	891736
59	10824	891206
60	11001	890792
61	11171	889717
62	11362	890400
63	11555	891217
64	11751	892242
65	11945	893053
66	12121	892469
67	12313	893089
68	12506	893761
69	12684	893348
70	12855	892476
71	13031	891943
72	13213	891849
73	13384	890944
74	13570	891137
75	13743	890428
76	13919	889946
77	14092	889259
78	14272	889035
79	14435	887778
80	14614	887520
81	14792	887208
82	14965	886580
83	15138	885977
84	15320	885865
85	15483	884725
86	15651	883871
87	15832	883769
88	16022	884122
89	16206	884179
90	16390	884197
91	16573	884181
92	16750	883833
93	16914	882801
94	17091	882453
95	17273	882384
96	17460	882551
97	17626	881673
98	17801	881265
99	17983	881185
100	18161	880924
101	18344	880885
102	18529	880954
103	18705	880576
104	18884	880354
105	19054	879730
106	19225	879160
107	19410	879209
108	19589	879016
109	19755	878225
110	19916	877235
111	20099	877198
112	20280	877085
113	20462	877018
114	20645	876994
115	20808	876109
116	21002	876558
117	21182	876376
118	21368	876450
119	21556	876613
120	21744	876783
121	21923	876585
122	22106	876533
123	22304	877056
124	22488	877055
125	22667	876817
126	22850	876764
127	23044	877118
128	23252	877996
129	23441	878165
130	23651	879094
131	23825	878671
132	24013	878754
133	24211	879185
134	24404	879482
135	24595	879652
136	24794	880110
137	24979	880083
138	25162	879959
139	25343	879789
140	25524	879608
141	25696	879104
142	25873	878779
143	26047	878389
144	26204	877409
145	26373	876822
146	26541	876235
147	26736	876519
148	26900	875798
149	27077	875506
150	27255	875237
151	27426	874768
152	27585	873889
153	27747	873146
154	27930	873067
155	28111	872893
156	28286	872543
157	28462	872243
158	28631	871723
159	28816	871698
160	29006	871823
161	29209	872309
162	29353	871048
163	29518	870425
164	29683	869810
165	29863	869642
166	30027	869002
167	30226	869362
168	30436	870056
169	30620	869976
170	30800	869794
171	30971	869366
172	31134	868698
173	31302	868191
174	31477	867889
175	31649	867490
176	31808	866729
177	31983	866426
178	32157	866093
179	32327	865646
180	32502	865367
181	32675	865005
182	32844	864551
183	33027	864462
184	33200	864100
185	33368	863633
186	33547	863454
187	33717	863023
188	33869	862137
189	34010	861001
190	34137	859520
191	34271	858212
192	34398	856743
193	34532	855468
194	34661	854087
195	34788	852670
196	34911	851171
197	35042	849860
198	35225	849831
199	35396	849510
200	35577	849438
201	35758	849349
202	35954	849635
203	36149	849862
204	36334	849864
205	36521	849915
206	36708	849962
207	36897	850054
208	37031	848878
209	37145	847272
210	37290	846374
211	37460	846036
212	37638	845886
213	37801	845404
214	37973	845135
215	38147	844898
216	38319	844622
217	38482	844152
218	38665	844104
219	38848	844071
220	39020	843795
221	39193	843548
222	39350	842955
223	39530	842845
224	39684	842199
225	39850	841805
226	40041	841920
227	40225	841914
228	40375	841188
229	40525	840462
230	40652	839267
231	40766	837813
232	40881	836409
233	41004	835151
234	41122	833818
235	41239	832468
236	41410	832232
237	41582	831993
238	41765	831990
239	41944	831898
240	42105	831462
241	42280	831285
